DrugID,DiseaseID,Drugs
DB00035,MESH:D001927,DB00091
DB00035,MESH:D001928,DB00091
DB00035,MESH:D001930,DB00091
DB00035,MESH:D001943,DB00091
DB00035,MESH:D002114,DB00091
DB00035,MESH:D002294,DB00091
DB00035,MESH:D002375,DB00091
DB00035,MESH:D002471,DB00091
DB00035,MESH:D002494,DB00091
DB00035,MESH:D002543,DB00091
DB00035,MESH:D002561,DB00091
DB00035,MESH:D002769,DB00091
DB00035,MESH:D002779,DB00091
DB00035,MESH:D002780,DB00091
DB00035,MESH:D003072,DB00091
DB00035,MESH:D003093,DB00091
DB00035,MESH:D003221,DB00091
DB00035,MESH:D003556,DB00091
DB00035,MESH:D003693,DB00091
DB00035,MESH:D003866,DB00091
DB00035,MESH:D003920,DB00091
