DiseaseID,number
MESH:D000799,284
MESH:D000848,285
MESH:D000849,286
MESH:D000853,287
MESH:D000855,288
MESH:D000856,289
MESH:D000857,290
MESH:D000858,291
MESH:D000860,292
MESH:D000868,293
MESH:D000881,294
MESH:D000987,295
MESH:D001002,296
MESH:D001005,297
MESH:D001006,298
MESH:D001008,299
MESH:D001010,300
MESH:D001014,301
MESH:D001017,302
MESH:D001018,303
MESH:D001019,304
MESH:D001022,305
MESH:D001024,306
MESH:D001025,307
MESH:D001028,308
MESH:D001037,309
MESH:D001039,310
MESH:D001044,311
MESH:D001049,312
MESH:D001063,313
MESH:D001068,314
MESH:D001072,315
MESH:D001100,316
MESH:D001129,317
MESH:D001139,318
MESH:D001145,319
MESH:D001146,320
MESH:D001157,321
MESH:D001161,322
MESH:D001162,323
MESH:D001165,324
MESH:D001167,325
MESH:D001168,326
MESH:D001169,327
MESH:D001170,328
MESH:D001171,329
MESH:D001172,330
MESH:D001176,331
MESH:D001177,332
MESH:D001184,333
MESH:D001195,334
MESH:D001196,335
MESH:D001201,336
MESH:D001206,337
MESH:D001228,338
MESH:D001229,339
MESH:D001237,340
MESH:D001238,341
MESH:D001247,342
MESH:D001249,343
MESH:D001250,344
MESH:D001251,345
MESH:D001254,346
MESH:D001259,347
MESH:D001260,348
MESH:D001261,349
MESH:D001264,350
MESH:D001265,351
MESH:D001281,352
MESH:D001282,353
MESH:D001284,354
MESH:D001289,355
MESH:D001308,356
MESH:D001321,357
MESH:D001327,358
MESH:D001342,359
MESH:D001404,360
MESH:D001416,361
MESH:D001424,362
MESH:D001437,363
MESH:D001442,364
MESH:D001471,365
MESH:D001477,366
MESH:D001478,367
MESH:D001480,368
MESH:D001523,369
MESH:D001528,370
MESH:D001607,371
MESH:D001649,372
MESH:D001650,373
MESH:D001651,374
MESH:D001657,375
MESH:D001660,376
MESH:D001661,377
MESH:D001714,378
MESH:D001724,379
MESH:D001733,380
MESH:D001744,381
MESH:D001745,382
MESH:D001746,383
MESH:D001747,384
MESH:D001748,385
MESH:D001749,386
MESH:D001750,387
MESH:D001752,388
MESH:D001759,389
MESH:D001762,390
MESH:D001763,391
MESH:D001764,392
MESH:D001766,393
MESH:D001768,394
MESH:D001778,395
MESH:D001791,396
MESH:D001832,397
MESH:D001835,398
MESH:D001836,399
MESH:D001847,400
MESH:D001848,401
MESH:D001849,402
MESH:D001850,403
MESH:D001851,404
MESH:D001855,405
MESH:D001859,406
MESH:D001862,407
MESH:D001883,408
MESH:D001885,409
MESH:D001899,410
MESH:D001906,411
MESH:D001913,412
MESH:D001919,413
MESH:D001922,414
MESH:D001925,415
MESH:D001926,416
MESH:D001927,417
MESH:D001928,418
MESH:D001929,419
MESH:D001930,420
MESH:D001932,421
MESH:D001941,422
MESH:D001943,423
MESH:D001982,424
MESH:D001984,425
MESH:D001986,426
MESH:D001987,427
MESH:D001988,428
MESH:D001989,429
MESH:D001991,430
MESH:D001996,431
MESH:D001997,432
MESH:D002006,433
MESH:D002012,434
MESH:D002032,435
MESH:D002037,436
MESH:D002051,437
MESH:D002054,438
MESH:D002056,439
MESH:D002057,440
MESH:D002062,441
MESH:D002095,442
MESH:D002100,443
MESH:D002105,444
MESH:D002114,445
MESH:D002128,446
MESH:D002137,447
MESH:D002169,448
MESH:D002177,449
MESH:D002178,450
MESH:D002179,451
MESH:D002180,452
MESH:D002181,453
MESH:D002189,454
MESH:D002194,455
MESH:D002249,456
MESH:D002252,457
MESH:D002276,458
MESH:D002277,459
MESH:D002278,460
MESH:D002279,461
MESH:D002280,462
MESH:D002282,463
MESH:D002283,464
MESH:D002286,465
